ID,CBSA,Alcohol,Marijuana,Heroine,Cokaine,Methaphetamine,Opiates,Patients,Metro_Areas,Total_population,Male_population,Female_population,Area_ID,Poverty_percent,Per_Capita,Agriculture_related,Construction,Manufacturing,Wholesale_trade,Retail_trade,Transportation_Warehouse,Information,Banking,Professional_Scientific_Management,Education_health_services
0,10180,145,69,77,31,61,100,324,"Abilene, TX Metro Area",167171,84591,82580,10180,18.1,22373,2611,4879,3480,1692,8785,3399,952,4411,4501,18954
1,10420,1392,1463,796,580,209,540,2445,"Akron, OH Metro Area",703017,340894,362123,10420,15,27823,1449,17150,54239,11674,40288,15046,5887,20682,31440,80973
2,10540,346,288,68,7,236,65,504,"Albany, OR Metro Area",118270,58605,59665,10540,19.5,21363,2341,3367,6789,1322,6702,2124,663,1895,3687,11051
3,10580,10134,7294,7134,5701,136,2734,18061,"Albany-Schenectady-Troy, NY Metro Area",875567,427575,447992,10580,11.5,32069,2685,24676,30089,9811,49928,17711,8947,29944,44268,117420
4,10740,561,243,249,179,54,503,1445,"Albuquerque, NM Metro Area",899137,442039,457098,10740,18.7,26144,5115,27195,23755,9181,45605,15492,7695,20595,51644,102100
5,10780,151,292,11,44,48,171,379,"Alexandria, LA Metro Area",154562,76386,78176,10780,20.2,21572,2108,3972,4840,1333,7318,2942,653,2839,4006,17899
6,10900,887,681,869,395,76,459,2325,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",826260,403217,423043,10900,11.2,29397,2451,22455,57035,11947,46701,21852,8524,23730,37300,97784
7,11020,813,320,1780,100,23,518,3248,"Altoona, PA Metro Area",126708,61789,64919,11020,14.2,23785,901,3099,6803,1683,8441,3574,1008,2115,3965,15023
8,11100,179,159,2,45,115,16,273,"Amarillo, TX Metro Area",257038,128921,128117,11100,16.1,25274,3181,8717,12640,4057,15350,6802,1823,7834,9077,27885
9,11260,1116,631,335,177,315,232,1669,"Anchorage, AK Metro Area",392021,200776,191245,11260,8.7,34953,7863,14867,4042,4223,21154,14467,4211,9147,19155,44082
10,11460,653,361,341,350,10,201,1046,"Ann Arbor, MI Metro Area",351454,173390,178064,11460,15.2,34258,907,4904,18975,2652,15959,4859,3501,7790,19417,66582
11,11700,1096,758,135,360,451,743,2417,"Asheville, NC Metro Area",433204,209258,223946,11700,16,26023,2678,14219,21258,4436,25227,5590,2864,9920,19871,50605
12,12060,1011,983,57,572,21,32,1792,"Atlanta-Sandy Springs-Roswell, GA Metro Area",5455053,2649723,2805330,12060,15.7,28880,10389,160613,217957,82881,299911,165356,82491,183774,356302,496638
13,12100,1524,1335,2187,803,27,763,4881,"Atlantic City-Hammonton, NJ Metro Area",275325,133392,141933,12100,15.2,27411,539,7396,4867,2273,14062,4954,1729,6508,11131,28013
14,12420,1072,897,352,360,316,259,1991,"Austin-Round Rock, TX Metro Area",1835016,918393,916623,12420,14.9,32035,8173,69196,80861,21853,105100,30430,22970,64362,135079,194172
15,12540,872,1125,1022,105,1573,280,3221,"Bakersfield, CA Metro Area",857730,440712,417018,12540,23.4,20467,52688,19571,19053,9420,35099,16225,3329,12543,26016,63186
16,12580,7494,6948,9909,5576,41,3098,20426,"Baltimore-Columbia-Towson, MD Metro Area",2753396,1327121,1426275,12580,11,35613,5304,83837,76838,32317,140946,58375,28573,91484,186101,348475
17,12620,478,536,553,210,28,858,1457,"Bangor, ME Metro Area",153627,75770,77857,12620,16.9,24076,1531,4663,4234,1784,10503,3329,1115,3252,5145,24260
18,12700,2266,333,1777,323,10,696,4152,"Barnstable Town, MA Metro Area",215167,102541,112626,12700,9.7,36964,854,9665,3800,1931,13535,4106,2003,6698,12152,24983
19,12940,32,22,11,26,4,30,73,"Baton Rouge, LA Metro Area",814805,399508,415297,12940,17.5,26639,6120,36584,34732,9208,45247,17348,6338,21547,36680,88768
20,12980,1437,1163,162,362,98,276,2073,"Battle Creek, MI Metro Area",135150,66037,69113,12980,17.2,23202,699,2288,12295,896,7342,2598,539,2180,3895,12666
21,13020,273,247,70,70,7,177,514,"Bay City, MI Metro Area",107074,52661,54413,13020,15.6,24538,525,2320,6755,1390,6558,2194,779,1981,3429,11848
22,13140,433,454,24,294,192,191,1027,"Beaumont-Port Arthur, TX Metro Area",404741,204483,200258,13140,18.4,23976,3581,16400,22368,4291,20045,8481,2001,7035,14230,37775
23,13380,785,622,362,97,278,153,1136,"Bellingham, WA Metro Area",204855,101494,103361,13380,16.2,26671,3462,6064,10347,2261,11966,3844,1478,5206,9694,23093
24,13460,812,466,140,22,370,103,1150,"Bend-Redmond, OR Metro Area",163141,80452,82689,13460,15,28054,2201,4866,5965,1265,9300,2108,1967,4199,8414,14841
25,13740,709,508,20,22,310,131,921,"Billings, MT Metro Area",162892,79941,82951,13740,12.5,28823,3691,6590,4237,3536,11234,4903,1611,5421,7048,17358
26,13780,1601,1398,1161,721,158,721,3027,"Binghamton, NY Metro Area",249261,122423,126838,13780,16,25626,1131,6499,13420,3207,14704,4361,1556,5493,9576,32247
27,13820,311,297,14,105,126,102,519,"Birmingham-Hoover, AL Metro Area",1135534,546799,588735,13820,16.9,26706,6189,32805,47773,15749,58771,28005,12087,42253,49338,116586
28,14010,243,267,85,75,13,47,419,"Bloomington, IL Metro Area",188851,92232,96619,14010,14.5,30453,1294,3928,6989,1784,10570,3370,1323,19527,8164,24536
29,14260,489,434,100,36,475,104,948,"Boise City, ID Metro Area",639616,319467,320149,14260,15.6,24715,9040,19556,29044,8360,34072,13531,6919,17133,32165,64758
30,14460,21207,5539,26108,7670,132,4311,44645,"Boston-Cambridge-Newton, MA-NH Metro Area",4650876,2254371,2396505,14460,10.4,39572,7396,123110,211618,57341,250025,84133,62270,199325,353485,656473
31,14500,2926,854,381,215,383,198,3565,"Boulder, CO Metro Area",305166,153300,151866,14500,14.6,38524,1787,7443,17038,3805,15361,3803,5454,8094,31490,37338
32,14540,232,227,24,81,165,135,558,"Bowling Green, KY Metro Area",162322,79538,82784,14540,19.6,22803,1349,4258,12439,2003,10473,3484,1217,2552,5263,18560
33,14740,748,658,314,65,502,187,1154,"Bremerton-Silverdale, WA Metro Area",253614,128985,124629,14740,10.9,31901,782,6960,10816,1493,12396,4216,2214,4988,12745,23208
34,14860,8374,6383,6053,4467,43,2074,16698,"Bridgeport-Stamford-Norwalk, CT Metro Area",934215,454762,479453,14860,9.1,49688,1178,29210,38520,10850,48583,14251,13153,55651,71029,100357
35,15180,380,376,6,231,4,8,579,"Brownsville-Harlingen, TX Metro Area",415103,200279,214824,15180,34.8,14898,3655,10041,7614,3587,17826,7114,2645,6193,12042,45188
36,15380,11077,9327,5478,6469,142,5018,19036,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",1135667,549332,586335,15380,14.5,28171,2815,24098,60597,14315,63379,25162,8505,39561,51564,149888
37,15540,1850,1500,1124,573,22,1031,3653,"Burlington-South Burlington, VT Metro Area",213891,104815,109076,15540,10.9,32562,1999,6721,13145,2206,13637,3899,2307,5682,11765,34154
38,15940,1678,1504,570,588,65,444,2624,"Canton-Massillon, OH Metro Area",403629,196036,207593,15940,15.1,24646,2209,10620,33142,5006,21823,8822,2828,9828,14995,44314
39,16300,1811,1437,102,198,506,196,2453,"Cedar Rapids, IA Metro Area",261429,129625,131804,16300,9.5,30337,2488,9036,23332,3811,17190,6679,3364,10457,12219,29441
